Open Time,Open,High,Low,Close,Volume
8/15/2021,47110.63,47404.12,45516.45,47003.87,1826.298057
8/16/2021,47013.5,48076.27,45660.83,45876.97,2167.450528
8/17/2021,45906.48,47171.98,44386.35,44648.84,2288.389963
8/18/2021,44701.83,46031.82,44220.44,44717.35,2282.195001
8/19/2021,44731.72,47059.76,43943.44,46753.72,2377.183358
8/20/2021,46758.32,49406.05,46640.73,49326.64,2518.777422
8/21/2021,49347.44,49808.89,48251,48858.83,1708.863497
8/22/2021,48864.06,49516.11,47972.28,49276.5,1119.395483
8/23/2021,49276.5,50546.27,49040.94,49545.26,2109.418562
8/24/2021,49508.47,49888.62,47600,47700.91,2248.857081
8/25/2021,47688.01,49280.07,47128.89,48991.76,1868.964933
8/26/2021,48984.49,49357.2,46236.72,46863,1872.83558
8/27/2021,46855.79,49551.39,46344.05,49071.5,2115.202637
8/28/2021,49090.48,49312.17,48380,48920.68,709.60507
8/29/2021,48927.61,49664.49,47788.88,48792.95,1181.513039
8/30/2021,48805.61,48901.12,46852.74,46995.47,1521.97002
8/31/2021,46996.65,48260.39,46581.26,47121.64,1775.38109
9/1/2021,47102.56,49121.5,46531.41,48843.62,1818.59385
9/2/2021,48838.81,50402.5,48543.82,49267.13,2090.178742
9/3/2021,49262.78,51045.17,48343.37,50015.65,2322.353184
9/4/2021,50016.62,50550,49387.75,49938.29,1032.21495
9/5/2021,49943.8,51950,49472.92,51786.64,1060.282124
9/6/2021,51792.48,52800,51018.18,52707.76,1468.894854
9/7/2021,52696.91,52942.42,42913,46870.91,5411.566891
9/8/2021,46877.47,47372.48,44425.56,46047.92,2735.46603
9/9/2021,46044.16,47399.99,45513.02,46395.19,1672.47953
9/10/2021,46379.6,47031.04,44126.04,44864.41,2935.39666
9/11/2021,44846.07,45983.01,44732.8,45174.46,899.74221
9/12/2021,45178.97,46485.87,44750,46051.09,962.05905
9/13/2021,46036.05,46900,43390.57,44936.64,2557.22891
9/14/2021,44952.9,47257.42,44652.43,47131.49,1448.23167
9/15/2021,47144.37,48464.21,46709.52,48150,1283.35576
9/16/2021,48148.56,48514.71,47031.81,47756.59,1123.77024
9/17/2021,47756.14,48177.84,46754.52,47293.72,1199.73727
9/18/2021,47293.72,48930,47050,48291.38,927.81267
9/19/2021,48312.6,48375.96,46850.01,47254.55,766.78784
9/20/2021,47253.2,47353.82,42485.3,42982.67,3459.452573
9/21/2021,43026.33,43629.88,39603.22,40692.59,3757.040371
9/22/2021,40717.96,44024.21,40539.26,43563.31,2357.12945
9/23/2021,43552.58,44995.6,43089.91,44882.61,1849.54939
9/24/2021,44893.36,45144.23,40700,42829.7,3784.97293
